rosbagTimestamp,level,name,message,hardware_id,values
1645113970432548613,1,"""toplevel_state""",'','',[]
1645113971432403478,1,"""toplevel_state""",'','',[]
1645113972432487648,1,"""toplevel_state""",'','',[]
1645113973432432686,1,"""toplevel_state""",'','',[]
1645113974432444809,1,"""toplevel_state""",'','',[]
1645113975432417934,1,"""toplevel_state""",'','',[]
1645113976432504574,1,"""toplevel_state""",'','',[]
1645113977432456360,1,"""toplevel_state""",'','',[]
1645113978432433182,1,"""toplevel_state""",'','',[]
1645113979432401145,1,"""toplevel_state""",'','',[]
1645113980432481527,1,"""toplevel_state""",'','',[]
1645113981432534954,2,"""toplevel_state""",'','',[]
1645113982432452349,2,"""toplevel_state""",'','',[]
1645113983432497232,2,"""toplevel_state""",'','',[]
1645113984432362348,1,"""toplevel_state""",'','',[]
1645113985432437325,2,"""toplevel_state""",'','',[]
1645113986432346829,1,"""toplevel_state""",'','',[]
1645113987432432167,1,"""toplevel_state""",'','',[]
1645113988432565407,1,"""toplevel_state""",'','',[]
1645113989432459021,1,"""toplevel_state""",'','',[]
1645113990432366504,1,"""toplevel_state""",'','',[]
1645113991432552246,1,"""toplevel_state""",'','',[]
1645113992432458426,1,"""toplevel_state""",'','',[]
1645113993432414089,1,"""toplevel_state""",'','',[]
1645113994432566342,1,"""toplevel_state""",'','',[]
1645113995432491020,1,"""toplevel_state""",'','',[]
1645113996432551350,2,"""toplevel_state""",'','',[]
1645113997432364574,2,"""toplevel_state""",'','',[]
1645113998432531656,2,"""toplevel_state""",'','',[]
1645113999432454748,2,"""toplevel_state""",'','',[]
1645114000432515237,2,"""toplevel_state""",'','',[]
1645114001432409167,2,"""toplevel_state""",'','',[]
1645114002432417372,2,"""toplevel_state""",'','',[]
1645114003432427595,1,"""toplevel_state""",'','',[]
1645114004432363364,1,"""toplevel_state""",'','',[]
1645114005432455213,1,"""toplevel_state""",'','',[]
1645114006432545364,1,"""toplevel_state""",'','',[]
1645114007432435616,1,"""toplevel_state""",'','',[]
1645114008432482360,2,"""toplevel_state""",'','',[]
1645114009432400313,2,"""toplevel_state""",'','',[]
1645114010432425144,2,"""toplevel_state""",'','',[]
1645114011432593884,2,"""toplevel_state""",'','',[]
1645114012432638908,2,"""toplevel_state""",'','',[]
1645114013432470415,2,"""toplevel_state""",'','',[]
1645114014432503308,2,"""toplevel_state""",'','',[]
1645114015432502238,2,"""toplevel_state""",'','',[]
1645114016432499540,2,"""toplevel_state""",'','',[]
1645114017432467844,1,"""toplevel_state""",'','',[]
1645114018432551013,1,"""toplevel_state""",'','',[]
1645114019432354995,1,"""toplevel_state""",'','',[]
1645114020432514935,1,"""toplevel_state""",'','',[]
1645114021432428610,1,"""toplevel_state""",'','',[]
1645114022432468186,1,"""toplevel_state""",'','',[]
1645114023432459738,1,"""toplevel_state""",'','',[]
1645114024432388238,1,"""toplevel_state""",'','',[]
1645114025432436715,1,"""toplevel_state""",'','',[]
1645114026432422307,1,"""toplevel_state""",'','',[]
1645114027432448943,1,"""toplevel_state""",'','',[]
1645114028432430769,2,"""toplevel_state""",'','',[]
1645114029432430169,1,"""toplevel_state""",'','',[]
1645114030432417927,1,"""toplevel_state""",'','',[]
1645114031432572319,1,"""toplevel_state""",'','',[]
1645114032432393059,2,"""toplevel_state""",'','',[]
1645114033432457888,2,"""toplevel_state""",'','',[]
1645114034432370447,2,"""toplevel_state""",'','',[]
1645114035432424729,2,"""toplevel_state""",'','',[]
1645114036432425615,2,"""toplevel_state""",'','',[]
1645114037432480740,2,"""toplevel_state""",'','',[]
1645114038432395572,2,"""toplevel_state""",'','',[]
1645114039432428622,1,"""toplevel_state""",'','',[]
1645114040432489659,1,"""toplevel_state""",'','',[]
1645114041432534323,1,"""toplevel_state""",'','',[]
1645114042432383170,1,"""toplevel_state""",'','',[]
1645114043432510606,1,"""toplevel_state""",'','',[]
1645114044432480978,1,"""toplevel_state""",'','',[]
1645114045432456464,1,"""toplevel_state""",'','',[]
1645114046432504792,1,"""toplevel_state""",'','',[]
1645114047432411987,1,"""toplevel_state""",'','',[]
1645114048432469525,1,"""toplevel_state""",'','',[]
1645114049432446575,1,"""toplevel_state""",'','',[]
1645114050432372270,1,"""toplevel_state""",'','',[]
1645114051432422463,1,"""toplevel_state""",'','',[]
1645114052432422624,1,"""toplevel_state""",'','',[]
1645114053431837892,1,"""toplevel_state""",'','',[]
1645114054432495370,1,"""toplevel_state""",'','',[]
1645114055432521454,1,"""toplevel_state""",'','',[]
1645114056432570945,1,"""toplevel_state""",'','',[]
1645114057432469594,1,"""toplevel_state""",'','',[]
1645114058432510350,1,"""toplevel_state""",'','',[]
1645114059432536940,1,"""toplevel_state""",'','',[]
1645114060432472288,1,"""toplevel_state""",'','',[]
1645114061432453824,1,"""toplevel_state""",'','',[]
1645114062432486532,2,"""toplevel_state""",'','',[]
1645114063432477594,2,"""toplevel_state""",'','',[]
1645114064432530791,1,"""toplevel_state""",'','',[]
1645114065432477954,2,"""toplevel_state""",'','',[]
1645114066432576253,2,"""toplevel_state""",'','',[]
1645114067432558928,2,"""toplevel_state""",'','',[]
1645114068432434514,2,"""toplevel_state""",'','',[]
1645114069432453590,2,"""toplevel_state""",'','',[]
1645114070432401567,2,"""toplevel_state""",'','',[]
1645114071432460453,2,"""toplevel_state""",'','',[]
1645114072432540445,2,"""toplevel_state""",'','',[]
1645114073432473972,1,"""toplevel_state""",'','',[]
1645114074432469910,2,"""toplevel_state""",'','',[]
1645114075432482480,2,"""toplevel_state""",'','',[]
1645114076432457530,2,"""toplevel_state""",'','',[]
1645114077432555753,2,"""toplevel_state""",'','',[]
1645114078432437256,2,"""toplevel_state""",'','',[]
1645114079432395976,2,"""toplevel_state""",'','',[]
1645114080432491168,1,"""toplevel_state""",'','',[]
1645114081432415340,1,"""toplevel_state""",'','',[]
1645114082432449773,1,"""toplevel_state""",'','',[]
1645114083432516375,1,"""toplevel_state""",'','',[]
1645114084432411279,1,"""toplevel_state""",'','',[]
1645114085432422813,1,"""toplevel_state""",'','',[]
1645114086432448748,1,"""toplevel_state""",'','',[]
1645114087432364766,1,"""toplevel_state""",'','',[]
1645114088432432183,1,"""toplevel_state""",'','',[]
1645114089432404083,1,"""toplevel_state""",'','',[]
1645114090432552677,1,"""toplevel_state""",'','',[]
1645114091432595867,1,"""toplevel_state""",'','',[]
1645114092432449539,1,"""toplevel_state""",'','',[]
1645114093432488429,1,"""toplevel_state""",'','',[]
1645114094432544545,1,"""toplevel_state""",'','',[]
1645114095432389067,1,"""toplevel_state""",'','',[]
1645114096432450414,1,"""toplevel_state""",'','',[]
1645114097432423117,1,"""toplevel_state""",'','',[]
1645114098432378455,1,"""toplevel_state""",'','',[]
1645114099432534936,2,"""toplevel_state""",'','',[]
1645114100432327922,2,"""toplevel_state""",'','',[]
1645114101432552424,2,"""toplevel_state""",'','',[]
1645114102432440845,2,"""toplevel_state""",'','',[]
1645114103432474723,2,"""toplevel_state""",'','',[]
1645114104432522525,2,"""toplevel_state""",'','',[]
1645114105432466679,2,"""toplevel_state""",'','',[]
1645114106432468016,2,"""toplevel_state""",'','',[]
1645114107432523166,1,"""toplevel_state""",'','',[]
1645114108432469031,1,"""toplevel_state""",'','',[]
1645114109432460718,1,"""toplevel_state""",'','',[]
1645114110432535369,1,"""toplevel_state""",'','',[]
1645114111432503794,1,"""toplevel_state""",'','',[]
1645114112432458636,1,"""toplevel_state""",'','',[]
1645114113432445039,1,"""toplevel_state""",'','',[]
1645114114432454579,1,"""toplevel_state""",'','',[]
1645114115432450622,1,"""toplevel_state""",'','',[]
1645114116432509006,1,"""toplevel_state""",'','',[]
1645114117432566270,1,"""toplevel_state""",'','',[]
1645114118432407809,1,"""toplevel_state""",'','',[]
1645114119432473770,1,"""toplevel_state""",'','',[]
1645114120432371990,1,"""toplevel_state""",'','',[]
1645114121432484530,1,"""toplevel_state""",'','',[]
1645114122432442875,1,"""toplevel_state""",'','',[]
1645114123432457317,1,"""toplevel_state""",'','',[]
1645114124432505026,1,"""toplevel_state""",'','',[]
1645114125432406603,1,"""toplevel_state""",'','',[]
1645114126432489165,1,"""toplevel_state""",'','',[]
1645114127432402481,1,"""toplevel_state""",'','',[]
1645114128432391820,1,"""toplevel_state""",'','',[]
1645114129432488252,1,"""toplevel_state""",'','',[]
1645114130432420010,1,"""toplevel_state""",'','',[]
1645114131432400194,1,"""toplevel_state""",'','',[]
1645114132432391893,1,"""toplevel_state""",'','',[]
1645114133432495521,1,"""toplevel_state""",'','',[]
1645114134432407407,1,"""toplevel_state""",'','',[]
1645114135432478201,1,"""toplevel_state""",'','',[]
1645114136432499030,1,"""toplevel_state""",'','',[]
1645114137432432167,1,"""toplevel_state""",'','',[]
1645114138432498438,1,"""toplevel_state""",'','',[]
1645114139432493443,1,"""toplevel_state""",'','',[]
1645114140432477256,1,"""toplevel_state""",'','',[]
1645114141432550785,2,"""toplevel_state""",'','',[]
1645114142432478824,2,"""toplevel_state""",'','',[]
1645114143432463106,2,"""toplevel_state""",'','',[]
1645114144432468045,1,"""toplevel_state""",'','',[]
1645114145432540651,1,"""toplevel_state""",'','',[]
1645114146432393860,1,"""toplevel_state""",'','',[]
1645114147432405775,1,"""toplevel_state""",'','',[]
1645114148432512981,1,"""toplevel_state""",'','',[]
1645114149432435719,1,"""toplevel_state""",'','',[]
1645114150432439084,2,"""toplevel_state""",'','',[]
1645114151432591437,2,"""toplevel_state""",'','',[]
1645114152432482033,2,"""toplevel_state""",'','',[]
1645114153432423297,1,"""toplevel_state""",'','',[]
1645114154432510015,2,"""toplevel_state""",'','',[]
1645114155432411462,1,"""toplevel_state""",'','',[]
1645114156432555631,1,"""toplevel_state""",'','',[]
1645114157432473111,1,"""toplevel_state""",'','',[]
1645114158432428534,1,"""toplevel_state""",'','',[]
1645114159432511462,1,"""toplevel_state""",'','',[]
1645114160432425388,1,"""toplevel_state""",'','',[]
1645114161432420847,1,"""toplevel_state""",'','',[]
1645114162432404994,1,"""toplevel_state""",'','',[]
1645114163432436574,1,"""toplevel_state""",'','',[]
1645114164432441485,1,"""toplevel_state""",'','',[]
1645114165432378906,1,"""toplevel_state""",'','',[]
1645114166432467951,1,"""toplevel_state""",'','',[]
1645114167432475552,1,"""toplevel_state""",'','',[]
1645114168432395646,1,"""toplevel_state""",'','',[]
1645114169432538009,1,"""toplevel_state""",'','',[]
1645114170432352290,1,"""toplevel_state""",'','',[]
1645114171432548044,1,"""toplevel_state""",'','',[]
1645114172432440012,2,"""toplevel_state""",'','',[]
1645114173432483915,2,"""toplevel_state""",'','',[]
1645114174432476434,2,"""toplevel_state""",'','',[]
1645114175432452828,2,"""toplevel_state""",'','',[]
1645114176432392362,2,"""toplevel_state""",'','',[]
1645114177432411286,1,"""toplevel_state""",'','',[]
1645114178432402561,2,"""toplevel_state""",'','',[]
1645114179432449819,2,"""toplevel_state""",'','',[]
1645114180432466104,2,"""toplevel_state""",'','',[]
1645114181432491623,2,"""toplevel_state""",'','',[]
1645114182432508523,2,"""toplevel_state""",'','',[]
1645114183432516453,2,"""toplevel_state""",'','',[]
1645114184432454735,2,"""toplevel_state""",'','',[]
1645114185432437203,2,"""toplevel_state""",'','',[]
1645114186432478112,2,"""toplevel_state""",'','',[]
1645114187432500166,2,"""toplevel_state""",'','',[]
1645114188432444025,2,"""toplevel_state""",'','',[]
1645114189432560478,2,"""toplevel_state""",'','',[]
1645114190432431861,2,"""toplevel_state""",'','',[]
1645114191432433511,2,"""toplevel_state""",'','',[]
1645114192432427298,1,"""toplevel_state""",'','',[]
1645114193432456642,1,"""toplevel_state""",'','',[]
1645114194432417108,1,"""toplevel_state""",'','',[]
1645114195432570849,1,"""toplevel_state""",'','',[]
1645114196432492651,1,"""toplevel_state""",'','',[]
1645114197432460712,2,"""toplevel_state""",'','',[]
1645114198432414185,2,"""toplevel_state""",'','',[]
1645114199432456095,2,"""toplevel_state""",'','',[]
1645114200432513575,2,"""toplevel_state""",'','',[]
1645114201432460193,1,"""toplevel_state""",'','',[]
1645114202432511377,1,"""toplevel_state""",'','',[]
